Frame,Scale,a_length,CN_cat,CN_an,D3s_Energy,D3_Energy
0,0.7,4.1778483809999996,5.6150632826502855,5.615063285690116,-0.07146536732351419,-0.07141523989638794
1,0.75,4.4762661225,4.736638563857111,4.736638565298876,-0.06938787502261488,-0.06923593206942193
2,0.8,4.774683864,3.9507816921040337,3.9507816926498167,-0.06681623836733676,-0.06640693343045627
3,0.85,5.0731016055,3.458986007748591,3.4589860076617245,-0.06370263420911948,-0.06295980513266716
4,0.9,5.371519347,3.1819285405710396,3.1819285395534562,-0.059977002020499236,-0.05898656048459519
5,0.95,5.669937088499999,2.973213457860961,2.9732134549703195,-0.05580977125574011,-0.05462888856565884
6,1.0,5.96835483,2.7121947011474745,2.712194694924076,-0.05157853541721551,-0.05006698175101501
7,1.05,6.266772571500001,2.3194741269008654,2.3194741164632764,-0.047904541744440435,-0.045492598741316996
8,1.1,6.565190313,1.8017570521670532,1.801757038938988,-0.046024024914737026,-0.04106955462216344
9,1.15,6.863608054499999,1.265021415710425,1.2650214029573936,-0.04772852849029624,-0.03701749533290132
10,1.2,7.162025796,0.8231568746445406,0.8231568647028495,-0.05202173998205063,-0.0365455749748081
11,1.25,7.4604435375,0.5149928923098102,0.5149928855103288,-0.05426054397318875,-0.05247378814521118
12,1.3,7.758861279,0.3193044657176366,0.3193044613547379,-0.05281679601810209,-0.06396563866376598
13,1.35,8.057279020500001,0.19989069566135417,0.19989069292060888,-0.04896006874688112,-0.06143872575872245
14,1.4,8.355696761999999,0.12754983554405463,0.12754983381849544,-0.044008975975415816,-0.05499212439552789
15,1.45,8.654114503499999,0.08328654471512559,0.08328654361351777,-0.0387574384463103,-0.04801097807840754
16,1.5,8.952532245,0.0557056295547587,0.055705628837915105,-0.033636396797707975,-0.04136313330322754
17,1.55,9.2509499865,0.03814498364576435,0.03814498316941786,-0.028875502534666773,-0.03531536608616899
18,1.6,9.549367728,0.026710591488501054,0.02671059116521709,-0.02458841438665409,-0.029953632443917383
19,1.65,9.8477854695,0.019099274670040457,0.019099274446112053,-0.02081655166623874,-0.02528668357568579
20,1.7000000000000002,10.146203211000001,0.013924883295708663,0.01392488313757052,-0.017555226941906484,-0.021281250583547566
21,1.75,10.4446209525,0.010336626723258534,0.010336626609536615,-0.014771731039725058,-0.017880351512511015
22,1.8,10.743038694,0.007801651006184617,0.007801650923008059,-0.012418434022401004,-0.015015631201103878
23,1.85,11.0414564355,0.0059795213249967585,0.005979521263196051,-0.010441950768572298,-0.012615970823496744
24,1.9,11.339874176999999,0.004648530164588862,0.004648530117994035,-0.008789080193292794,-0.010613067323898256
25,1.9500000000000002,11.6382919185,0.003661635312539585,0.003661635276928604,-0.007410257707597423,-0.008944603133303388
26,2.0,11.93670966,0.002919620672038072,0.002919620644475651,-0.006261245623146953,-0.007555668947105948
27,2.05,12.2351274015,0.002354446561642976,0.0023544465400577182,-0.00530367860397431,-0.006399042166516159
28,2.1,12.533545143000001,0.0019187370628724427,0.0019187370457819462,-0.004504931456767289,-0.005434794298598118
29,2.1500000000000004,12.831962884500003,0.0015790291778162685,0.0015790291641455813,-0.0038376317017437623,-0.004629559890943823
30,2.2,13.130380626,0.0013113674089995653,0.0013113673979594964,-0.003279022486845681,-0.003955680171515047
31,2.25,13.4287983675,0.0010983847241968151,0.001098384715201196,-0.002810297127680675,-0.003390346332804522
32,2.3,13.727216108999999,0.0009273402797807273,0.0009273402723893999,-0.002415970477037769,-0.00291480803036534
33,2.35,14.0256338505,0.0007887821777168921,0.0007887821715959204,-0.00208331738541231,-0.00251367558817452
34,2.4000000000000004,14.324051592000002,0.0006756243262499407,0.0006756243211435099,-0.0018018880692467257,-0.0021743228424661184
35,2.45,14.622469333500002,0.0005825013395361527,0.0005825013352464949,-0.0015630990902211245,-0.001886386045009564
36,2.5,14.920887075,0.0005053124947603879,0.0005053124911332837,-0.0013598932343725477,-0.0016413488746793423
37,2.55,15.2193048165,0.00044089579331377704,0.0004408957902279824,-0.001186459472845393,-0.0014322017752022576
38,2.6,15.517722558,0.00038679258065979586,0.0003867925780192523,-0.0010380038877759819,-0.0012531639139082506
39,2.6500000000000004,15.816140299500002,0.00034107588411273835,0.00034107588184078267,-0.0009105630559910538,-0.001099457060409863
40,2.7,16.114558041000002,0.00030222404565506477,0.0003022240436900877,-0.0008008523800337487,-0.0009671220531079351
41,2.75,16.4129757825,0.0002690268693131564,0.0002690268676053188,-0.000706142955065048,-0.0008528699504413962
42,2.8,16.711393523999998,0.00024051532649255468,0.00024051532500128674,-0.0006241616152724223,-0.0007539613007475279
43,2.85,17.0098112655,0.00021590848149139093,0.000215908480183471,-0.0005530097484168781,-0.0006681081445482381
44,2.9000000000000004,17.308229007,0.0001945731109864178,0.00019457310983448658,-0.0004910972800374559,-0.0005933943686088094
45,2.95,17.6066467485,0.0001759927564911234,0.0001759927554725285,-0.00043708891051223383,-0.0005282108689821515
